Chip:
Project,Product,Customer,Value,
SOC,IPROCSW,Broadcom,Greyhound,
SOC,IPROCSW,Broadcom,Helix4,
SOC,IPROCSW,Broadcom,Helix4-BE,
SOC,IPROCSW,Broadcom,Hurricane2,
SOC,IPROCSW,Broadcom,Hurricane3,
SOC,IPROCSW,Broadcom,Katana2,

Customer:
Project,Product,Value,
APP,ePTN,Broadcom,
AVB,AVB,Broadcom,
CS,Client Security,Broadcom,
CS,Client Security,Compal Electronics,
CS,Client Security,Dell,
CS,Client Security,Wave,
CTRL,NX1,Broadcom,
LINUXDEV,Linux,Broadcom,
SOC,IPROCSW,Alltek,
SOC,IPROCSW,Altiostar,
SOC,IPROCSW,Avnet Inc,
SOC,IPROCSW,Broadcom,
SOC,IPROCSW,Ericsson,
SOC,IPROCSW,Huawei,
SOC,IPROCSW,LANDI,
SOC,IPROCSW,Netgear,
SOC,IPROCSW,Ubiquiti Networks,
SOC,POS,Broadcom,
WLAN,ESDK,Accton Technology Corporation,
WLAN,ESDK,Accton Wireless BroadBand Corporation,
WLAN,ESDK,Aerohive Networks Inc,
WLAN,ESDK,Aruba Networks Inc,
WLAN,ESDK,Broadcom,
WLAN,ESDK,Hewlett Packard Company,
WLAN,ESDK,Meraki Inc,
WLAN,ESDK,Samsung Electronics Co Ltd,
WLAN,UWS/UAP,Alpha Networks Inc,
WLAN,UWS/UAP,Belkin International Inc,
WLAN,UWS/UAP,Broadcom,
WLAN,UWS/UAP,Cisco Systems Inc,
WLAN,UWS/UAP,CyberTan Technology Inc,
WLAN,UWS/UAP,D-Link Corporation,
WLAN,UWS/UAP,Delta Networks Inc,
WLAN,UWS/UAP,Hewlett Packard Company,
WLAN,UWS/UAP,Lucent-MA,
WLAN,UWS/UAP,Radisys Corporation,
WLAN,UWS/UAP,ShenZhen Tenda Technology Co Ltd,
WLAN,UWS/UAP,Universal Global Scientific Industrial Co Ltd,
CTRL,NetXtreme I,IBM Server,
CTRL,NetXtreme I,Amazon,
CTRL,NetXtreme I,Other,
CBT,Movies,Broadcom,
CBT,Movies,Bruce Willis,
CBT,Sites,Broadcom,
CBT,Sites,Jackie Chan,
SBX,Caladan2,Ericsson,
SBX,Caladan3,Broadcom,
SBX,Caladan3,Fiberhome Telecommunication Technologies Co L,
SBX,Caladan3,NEC Communication Systems Ltd,
SBX,Caladan3,NEC Corporation,
SBX,Caladan3,ZTE,
CTRL,NetXtreme I,Acer,
CTRL,NetXtreme I,Apple,
CTRL,NetXtreme I,Broadcom,
CTRL,NetXtreme I,Dell Desktop,
CTRL,NetXtreme I,Dell Mobile,
CTRL,NetXtreme I,Dell Server,
CTRL,NetXtreme I,EMC,
CTRL,NetXtreme I,Foxconn,
CTRL,NetXtreme I,Fujitsu,
CTRL,NetXtreme I,HP Desktop,
CTRL,NetXtreme I,HP Mobile,
CTRL,NetXtreme I,HP Server,
CTRL,NetXtreme I,HP Workstation,
CTRL,NetXtreme I,Hitachi,
CTRL,NetXtreme I,HuaWei,
CTRL,NetXtreme I,IBM Desktop,
CTRL,NetXtreme I,Inventec,
CTRL,NetXtreme I,Lenovo Desktop,
CTRL,NetXtreme I,Lenovo Mobile,
CTRL,NetXtreme I,Lenovo Server,
CTRL,NetXtreme I,MSI,
CTRL,NetXtreme I,Microsoft,
CTRL,NetXtreme I,Mitec,
CTRL,NetXtreme I,NEC,
CTRL,NetXtreme I,NOT_IMPORTED,
CTRL,NetXtreme I,Quanta,
CTRL,NetXtreme I,Vmware,
CTRL,NetXtreme I,Wistron,
CS,MPOS,Broadcom,

Document:
Project,Customer,Value,
APP,,BLANK,
APP,,Product Specification,
SOC,,BLANK,
SOC,,Release Notes,
WLAN,,BLANK,
WLAN,,Functional Specification,
WLAN,,Integration Checklist,
WLAN,,Product Specification,
WLAN,,Reference,
WLAN,,UI Specification,
CBT,,Functional Specification,
